,Article,rev_id,page_id,user,timestamp,Quality,article_type
0,Parallel computing,850357480,22173,WOSlinker,2018-07-15T11:19:09Z,FA,Good
1,Parallel computing,844288857,22173,Arthur Rubin (alternate),2018-06-03T23:33:14Z,FA,Good
2,Parallel computing,807179335,22173,Arkansalty,2017-10-26T11:59:51Z,FA,Good
3,Parallel computing,791405619,22173,JFG,2017-07-20T01:58:52Z,FA,Good
4,Parallel computing,791405528,22173,JFG,2017-07-20T01:58:00Z,FA,Good
5,Parallel computing,791398051,22173,Certes,2017-07-20T00:32:10Z,FA,Good
6,Parallel computing,791392318,22173,Sławomir Biały,2017-07-19T23:55:49Z,FA,Good
7,Parallel computing,791389948,22173,Volunteer1234,2017-07-19T23:33:40Z,FA,Good
8,Parallel computing,785782581,22173,Certes,2017-06-15T11:39:59Z,FA,Good
9,Parallel computing,781500946,22173,Certes,2017-05-21T16:33:39Z,FA,Good
10,Parallel computing,780837653,22173,JFG,2017-05-17T13:40:00Z,FA,Good
11,Parallel computing,780835055,22173,Certes,2017-05-17T13:18:25Z,FA,Good
12,Parallel computing,780833997,22173,JFG,2017-05-17T13:10:37Z,FA,Good
13,Parallel computing,780833286,22173,Certes,2017-05-17T13:03:57Z,FA,Good
14,Parallel computing,780813557,22173,JFG,2017-05-17T10:05:27Z,FA,Good
15,Parallel computing,780813083,22173,Certes,2017-05-17T10:00:46Z,FA,Good
16,Parallel computing,780752110,22173,JFG,2017-05-17T00:06:06Z,FA,Good
17,Parallel computing,780752057,22173,JFG,2017-05-17T00:05:32Z,FA,Good
18,Parallel computing,780742380,22173,JFG,2017-05-16T22:30:50Z,FA,Good
19,Parallel computing,780741011,22173,Power~enwiki,2017-05-16T22:18:23Z,FA,Good
20,Parallel computing,780740728,22173,JFG,2017-05-16T22:15:18Z,FA,Good
21,Parallel computing,780739986,22173,JFG,2017-05-16T22:08:12Z,FA,Good
22,Parallel computing,780739838,22173,JFG,2017-05-16T22:06:59Z,FA,Good
23,Parallel computing,780717036,22173,Certes,2017-05-16T19:37:49Z,FA,Good
24,Parallel computing,780554522,22173,Power~enwiki,2017-05-15T20:57:27Z,FA,Good
25,Parallel computing,780472850,22173,Certes,2017-05-15T10:04:24Z,FA,Good
26,Parallel computing,780459416,22173,Snuge purveyor,2017-05-15T07:24:12Z,FA,Good
27,Parallel computing,780429792,22173,Power~enwiki,2017-05-15T01:44:40Z,FA,Good
28,Parallel computing,779490374,22173,Power~enwiki,2017-05-09T05:48:09Z,FA,Good
